fetched_at_utc,url,status,bytes,saved_as,note
2026-07-27T08:41:40Z,https://icfpcontest2026.com/favicon.svg,200,874,site/favicon.svg,image/svg+xml
2026-07-27T08:41:41Z,https://icfpcontest2026.com/favicon.ico,200,15086,site/favicon.ico,image/vnd.microsoft.icon
2026-07-27T08:41:42Z,https://icfpcontest2026.com/apple-touch-icon.png,200,4283,site/apple-touch-icon.png,image/png
2026-07-27T08:41:43Z,https://icfpcontest2026.com/og.png,200,35642,site/og.png,image/png
2026-07-27T08:41:44Z,https://icfpcontest2026.com/ascii.txt,200,977,site/ascii.txt,text/plain
2026-07-27T08:41:45Z,https://icfpcontest2026.com/fonts/lato-v25-latin-regular.woff2,200,23580,site/fonts/lato-v25-latin-regular.woff2,font/woff2
2026-07-27T08:41:46Z,https://icfpcontest2026.com/fonts/lato-v25-latin-italic.woff2,200,24408,site/fonts/lato-v25-latin-italic.woff2,font/woff2
2026-07-27T08:41:48Z,https://icfpcontest2026.com/fonts/lato-v25-latin-700.woff2,200,23040,site/fonts/lato-v25-latin-700.woff2,font/woff2
2026-07-27T08:41:49Z,https://icfpcontest2026.com/fonts/lato-v25-latin-700italic.woff2,200,24448,site/fonts/lato-v25-latin-700italic.woff2,font/woff2
2026-07-27T08:41:50Z,https://icfpcontest2026.com/site.webmanifest,200,2206,site/site.webmanifest,text/html
2026-07-27T08:41:51Z,https://icfpcontest2026.com/sitemap.xml,200,2206,site/sitemap.xml,text/html
